Month,n,pos,fp,fn,fp_rate,fn_rate
Sep,61,9,7,1,0.11475409836065574,0.01639344262295082
Nov,466,120,42,41,0.09012875536480687,0.08798283261802575
Dec,253,35,22,5,0.08695652173913043,0.019762845849802372
June,49,3,4,1,0.08163265306122448,0.02040816326530612
Jul,68,12,5,9,0.07352941176470588,0.1323529411764706
Mar,275,30,14,2,0.05090909090909091,0.007272727272727273
Aug,60,6,3,1,0.05,0.016666666666666666
May,509,58,25,9,0.04911591355599214,0.01768172888015717
Oct,83,13,4,3,0.04819277108433735,0.03614457831325301
Feb,26,0,0,0,0.0,0.0
