TrafficType,n,pos,fp,fn,fp_rate,fn_rate
10,52,12,7,2,0.1346153846153846,0.038461538461538464
4,149,20,15,6,0.10067114093959731,0.040268456375838924
5,33,5,3,2,0.09090909090909091,0.06060606060606061
2,595,119,50,28,0.08403361344537816,0.047058823529411764
6,77,10,6,3,0.07792207792207792,0.03896103896103896
1,383,43,24,12,0.06266318537859007,0.031331592689295036
13,106,5,6,1,0.05660377358490566,0.009433962264150943
3,308,32,13,11,0.04220779220779221,0.03571428571428571
20,31,10,1,1,0.03225806451612903,0.03225806451612903
8,56,17,1,5,0.017857142857142856,0.08928571428571429
